"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","High Density","Book Ser"
"Ann. I.S.U.P.","Annales de l'I.S.U.P.","","Univ. Pierre et Marie Curie (Paris VI), Paris.","1626-1607","N","N","N"
"Ann. Inst. Fourier (Grenoble)","Universite de Grenoble. Annales de l'Institut Fourier","","Univ. Grenoble I, Saint-Martin-d'Heres.","0373-0956","N","Y","N"
"Ann. Inst. H. Poincare Anal. Non Lineaire","Annales de l'Institut Henri Poincare. Analyse Non Lineaire","","Elsevier Sci. B. V., Amsterdam.","0294-1449","N","Y","N"
"Ann. Inst. Henri Poincare D","Annales de l'Institut Henri Poincare D. Combinatorics, Physics and their Interactions","","Eur. Math. Soc., Zurich.","2308-5827","N","Y","N"
"Ann. Inst. Henri Poincare Probab. Stat.","Annales de l'Institut Henri Poincare Probabilites et Statistiques","","Inst. Henri Poincare, Paris.","0246-0203","N","Y","N"
"Ann. Inst. Statist. Math.","Annals of the Institute of Statistical Mathematics","","Springer, Tokyo.","0020-3157","N","Y","N"
"Ann. Internat. Soc. Dynam. Games","Annals of the International Society of Dynamic Games","","Birkhauser/Springer, Cham.","","N","N","Y"
"Ann. Japan Assoc. Philos. Sci.","Annals of the Japan Association for Philosophy of Science","","Japan Assoc. Philos. Sci., Tokyo.","0453-0691","N","N","N"
"Ann. Mat. Pura Appl. (4)","Annali di Matematica Pura ed Applicata. Series IV","","Springer, Berlin.","0373-3114","N","Y","N"
"Ann. Math. Artif. Intell.","Annals of Mathematics and Artificial Intelligence","","Springer, Dordrecht.","1012-2443","N","N","N"
"Ann. Math. Blaise Pascal","Annales Mathematiques Blaise Pascal","","Univ. Blaise Pascal, Lab. Math., Aubiere.","1259-1734","N","Y","N"
"Ann. Math. Inform.","Annales Mathematicae et Informaticae. International Journal for Mathematics and Computer Science","","Eszterhazy Karoly Coll., Eger.","1787-5021","N","Y","N"
"Ann. Math. Que.","Annales Mathematiques du Quebec","","Springer, Berlin.","2195-4755","N","Y","N"
"Ann. Math. Sil.","Annales Mathematicae Silesianae","","Wydawn. Uniw. Slaskiego, Katowice.","0860-2107","N","Y","N"
"Ann. of Math. (2)","Annals of Mathematics. Second Series","","Princeton Univ. Press, Princeton, NJ.","0003-486X","N","Y","N"
"Ann. of Math. Stud.","Annals of Mathematics Studies","","Princeton Univ. Press, Princeton, NJ.","","N","N","Y"
"Ann. of Sci.","Annals of Science","","Taylor & Francis, Abingdon.","0003-3790","N","N","N"
"Ann. Oper. Res.","Annals of Operations Research","","Springer, New York.","0254-5330","N","N","N"
"Ann. Phys.","Annalen der Physik","","WILEY-VCH, Weinheim.","0003-3804","N","N","N"
"Ann. Physics","Annals of Physics","","Elsevier, Inc., Amsterdam.","0003-4916","N","N","N"
"Ann. Polon. Math.","Annales Polonici Mathematici","","Polish Acad. Sci. Inst. Math., Warsaw.","0066-2216","N","Y","N"
"Ann. Probab.","The Annals of Probability","","Inst. Math. Statist., Bethesda, MD.","0091-1798","N","Y","N"
"Ann. Pure Appl. Logic","Annals of Pure and Applied Logic","","Elsevier, Inc., Amsterdam.","0168-0072","N","Y","N"
"Ann. Sc. Norm. Super. Pisa Cl. Sci. (5)","Annali della Scuola Normale Superiore di Pisa. Classe di Scienze. Serie V","","Scuola Norm. Sup., Pisa.","0391-173X","N","Y","N"
"Ann. Sci. Ec. Norm. Super. (4)","Annales Scientifiques de l'Ecole Normale Superieure. Quatrieme Serie","","Soc. Math. France, Paris.","0012-9593","N","Y","N"
"Ann. Statist.","The Annals of Statistics","","Inst. Math. Statist., Bethesda, MD.","0090-5364","N","Y","N"
"Ann. Tiberiu Popoviciu Semin. Funct. Equ. Approx. Convexity","Annals of the Tiberiu Popoviciu Seminar of Functional Equations, Approximation and Convexity","","Mediamira Sci. Publ., Cluj-Napoca.","1584-4536","N","N","N"
"Ann. Univ. Buchar. Math. Ser.","Annals of the University of Bucharest. Mathematical Series","","Univ. Bucharest, Fac. Math. Comput. Sci., Bucharest.","2067-9009","N","Y","N"
"Ann. Univ. Ferrara Sez. VII Sci. Mat.","Annali dell'Universita di Ferrara. Sezione VII. Scienze Matematiche","","Springer Italia, Milan.","0430-3202","N","Y","N"
"Ann. Univ. Mariae Curie-Sklodowska Sect. A","Annales. Universitatis Mariae Curie-Sklodowska. Sectio A. Mathematica","","De Gruyter Open, Berlin.","2083-7402","N","Y","N"
"Ann. Univ. Mariae Curie-Sklodowska Sect. AI-Inform.","Annales Universitatis Mariae Curie-Sklodowska. Sectio AI. Informatica","","De Gruyter, Berlin.","1732-1360","N","N","N"
"Ann. Univ. Sci. Budapest. Eotvos Sect. Math.","Annales Universitatis Scientiarum Budapestinensis de Rolando Eotvos Nominatae. Sectio Mathematica","","Eotvos Lorand Univ., Budapest.","0524-9007","N","Y","N"
"Ann. Univ. Sci. Budapest. Sect. Comput.","Annales Universitatis Scientiarum Budapestinensis de Rolando Eotvos Nominatae. Sectio Computatorica","","Eotvos Lorand Univ., Budapest.","0138-9491","N","Y","N"
"Anneli Lax New Math. Libr.","Anneli Lax New Mathematical Library","","Math. Assoc. America, Washington, DC.","","N","N","Y"
"Annu. Rev. Fluid Mech.","Annual Review of Fluid Mechanics","","Annual Reviews, Palo Alto, CA.","0066-4189","N","N","Y"
"Annuaire Univ. Sofia Fac. Math. Inform.","Godishnik na Sofiiskiya Universitet ``Sv. Kliment Okhridski''. Fakultet po Matematika i Informatika. Annuaire de l'Universite de Sofia ``St. Kliment Ohridski''. Faculte de Mathematiques et Informatique","","Presses Univ. ``St. Kliment Ohridski'', Sofia.","0205-0808","N","N","N"
"Antiq. Math.","Antiquitates Mathematicae. Roczniki Polskiego Towarzystwa Matematycznego. Seria VI","","Polsk. Tow. Mat., Warsaw.","1898-5203","N","N","N"
"Antiquite Classique","L'Antiquite Classique","","L'Antiquite Class., Brussels.","0770-2817","N","N","N"
"ANZIAM J.","The ANZIAM Journal. The Australian & New Zealand Industrial and Applied Mathematics Journal","","Cambridge Univ. Press, Cambridge.","1446-1811","N","Y","N"
"ANZIAM J. Electron. Suppl.","ANZIAM Journal. Electronic Supplement","","Austral. Math. Soc., Canberra.","1446-8735","N","Y","N"
"Aportaciones Mat. Comun.","Aportaciones Matematicas: Comunicaciones","Mathematical Contributions: Communications","Inst. Mat. , UNAM, Mexico.","1870-2112","N","N","Y"
"Aportaciones Mat. Investig.","Aportaciones Matematicas: Investigacion","Mathematical Contributions: Research","Soc. Mat. Mexicana, Mexico.","","N","N","Y"
"Aportaciones Mat. Textos","Aportaciones Matematicas: Textos","Mathematical Contributions: Texts","Soc. Mat. Mexicana, Mexico.","","N","N","Y"
"Appl. Algebra Engrg. Comm. Comput.","Applicable Algebra in Engineering, Communication and Computing","","Springer, Heidelberg.","0938-1279","N","Y","N"
"Appl. Anal.","Applicable Analysis. An International Journal","","Taylor & Francis, Abingdon.","0003-6811","N","Y","N"
"Appl. Anal. Discrete Math.","Applicable Analysis and Discrete Mathematics","","Univ. Belgrade, Belgrade.","1452-8630","N","Y","N"
"Appl. Appl. Math.","Applications and Applied Mathematics. An International Journal","","Prairie View A & M Univ., Prairie View, TX.","1932-9466","N","Y","N"
"Appl. Categ. Structures","Applied Categorical Structures. A Journal Devoted to Applications of Categorical Methods in Algebra, Analysis, Order, Topology and Computer Science","","Springer, Dordrecht.","0927-2852","N","Y","N"
"Appl. Comput. Harmon. Anal.","Applied and Computational Harmonic Analysis. Time-Frequency and Time-Scale Analysis, Wavelets, Numerical Algorithms, and Applications","","Elsevier, Inc., Amsterdam.","1063-5203","N","Y","N"
"Appl. Comput. Math.","Applied and Computational Mathematics. An International Journal","","Baku State Univ., Inst. Appl. Math., Baku.","1683-3511","N","Y","N"
"Appl. Gen. Topol.","Applied General Topology","","Univ. Politec. Valencia, Valencia.","1576-9402","N","Y","N"
"Appl. Math.","Applications of Mathematics","","Acad. Sci. Czech Repub. Inst. Math., Prague.","0862-7940","N","Y","N"
"Appl. Math. Comput.","Applied Mathematics and Computation","","Elsevier, Inc., New York.","0096-3003","N","N","N"
"Appl. Math. E-Notes","Applied Mathematics E-Notes","","Appl. Math. E-Notes, Hsinchu.","1607-2510","N","Y","N"
"Appl. Math. Finance","Applied Mathematical Finance","","Routledge Journals, Taylor & Francis, Ltd., Abingdon.","1350-486X","N","N","N"
"Appl. Math. Inf. Sci.","Applied Mathematics & Information Sciences","","Natural Sciences Publishing Co., New York.","1935-0090","N","N","N"
"Appl. Math. Inform. Mech.","Applied Mathematics, Informatics and Mechanics","","Tbilisi Univ. Press, Tbilisi.","1512-0074","N","N","N"
"Appl. Math. J. Chinese Univ. Ser. A","Applied Mathematics. A Journal of Chinese Universities. Series A. Gaoxiao Yingyong Shuxue Xuebao","","Appl. Math. J. Chinese Univ., Editor. Comm., Hangzhou.","1000-4424","N","Y","N"
"Appl. Math. J. Chinese Univ. Ser. B","Applied Mathematics. A Journal of Chinese Universities. Ser. B","","Appl. Math. J. Chinese Univ., Editor. Comm., Hangzhou.","1005-1031","N","Y","N"
"Appl. Math. Lett.","Applied Mathematics Letters. An International Journal of Rapid Publication","","Elsevier Ltd, Oxford.","0893-9659","N","Y","N"
"Appl. Math. Mech. (English Ed.)","Applied Mathematics and Mechanics. English Edition","","Shanghai Univ., Shanghai.","0253-4827","N","N","N"
"Appl. Math. Model.","Applied Mathematical Modelling. Simulation and Computation for Engineering and Environmental Systems","","Elsevier, Inc., Amsterdam.","0307-904X","N","N","N"
"Appl. Math. Optim.","Applied Mathematics and Optimization","","Springer, New York.","0095-4616","N","Y","N"
"Appl. Math. Res. Express. AMRX","Applied Mathematics Research Express. AMRX","","Oxford Univ. Press, Cary, NC.","1687-1200","N","Y","N"
"Appl. Math. Sci.","Applied Mathematical Sciences","","Springer, Cham.","0066-5452","N","N","Y"
"Appl. Math. (Warsaw)","Applicationes Mathematicae","","Polish Acad. Sci. Inst. Math., Warsaw.","1233-7234","N","Y","N"
"Appl. Numer. Harmon. Anal.","Applied and Numerical Harmonic Analysis","","Birkhauser/Springer, Cham.","2296-5009","N","N","Y"
"Appl. Numer. Math.","Applied Numerical Mathematics. An IMACS Journal","","Elsevier, Amsterdam.","0168-9274","N","N","N"
"Appl. Sci.","APPS. Applied Sciences","","Balkan Soc. Geometers, Bucharest.","1454-5101","N","N","N"
"Appl. Sci. Eng.","Applied Sciences and Engineering","","Springer, New Delhi.","2363-4995","Y","N","Y"
"Appl. Sci. Monogr.","Applied Sciences. Monographs","","Geom. Balkan Press, Bucharest.","","N","N","Y"
"Appl. Stoch. Methods Ser.","Applied Stochastic Methods Series","","ISTE, London.","","N","N","Y"
"Appl. Stoch. Models Bus. Ind.","Applied Stochastic Models in Business and Industry","","Wiley, Chichester.","1524-1904","N","N","N"
"Appunti. Sc. Norm. Super. Pisa (N. S.)","Appunti. Scuola Normale Superiore di Pisa (Nuova Serie)","Lecture Notes. Scuola Normale Superiore di Pisa (New Series)","Ed. Norm., Pisa.","","N","N","Y"
"Arab J. Math. Sci.","Arab Journal of Mathematical Sciences","","Saudi Assoc. Math. Sci., Riyadh.","1319-5166","N","Y","N"
"Arab. J. Math. (Springer)","Arabian Journal of Mathematics","","Springer, Berlin.","2193-5343","N","Y","N"
"Arab. J. Sci. Eng.","Arabian Journal for Science and Engineering","","Springer, Berlin.","1319-8025","N","N","N"
"Arabic Sci. Philos.","Arabic Sciences and Philosophy. A Historical Journal","","Cambridge Univ. Press, Cambridge.","0957-4239","N","N","N"
"Arch. Comput. Methods Eng.","Archives of Computational Methods in Engineering. State of the Art Reviews","","Springer, Dordrecht.","1134-3060","N","N","N"
"Arch. Contol. Sci.","Archives of Control Sciences. Polish Academy of Sciences. Committee of Automatic Control and Robotics","","Silesian Univ. Tech., Gliwice.","1230-2384","N","N","N"
"Arch. Hist. Exact Sci.","Archive for History of Exact Sciences","","Springer, Berlin.","0003-9519","N","Y","N"
"Arch. Inequal. Appl.","Archives of Inequalities and Applications. An International Journal for Theory and Applications","","Dynamic, Atlanta, GA.","1542-6149","N","Y","N"
"Arch. Math. (Basel)","Archiv der Mathematik","","Birkhauser Verlag, Basel.","0003-889X","N","Y","N"
"Arch. Math. (Brno)","Universitatis Masarykianae Brunensis. Facultas Scientiarum Naturalium. Archivum Mathematicum","","Masaryk Univ., Brno.","0044-8753","N","Y","N"
"Arch. Math. Logic","Archive for Mathematical Logic","","Springer, Berlin.","0933-5846","N","Y","N"
"Arch. Mech. (Arch. Mech. Stos.)","Polish Academy of Sciences. Institute of Fundamental Technological Research. Archives of Mechanics (Archiwum Mechaniki Stosowanej)","","Polish Acad. Sci. Inst. Fundam. Technol. Res., Warsaw.","0373-2029","N","N","N"
"Arch. Ration. Mech. Anal.","Archive for Rational Mechanics and Analysis","","Springer, Heidelberg.","0003-9527","N","Y","N"
"Archimedes","Archimedes: New Studies in the History and Philosophy of Science and Technology","","Springer, Berlin.","1385-0180","N","N","Y"
"Archimedes Palimpsest Publ.","The Archimedes Palimpsest Publications","","Cambridge Univ. Press, Cambridge.","","N","N","Y"
"ARIMA Rev. Afr. Rech. Inform. Math. Appl.","ARIMA. Revue Africaine de la Recherche en Informatique et Mathematiques Appliquees","","INRIA, Le Chesnay.","1638-5713","N","N","N"
"Ark. Mat.","Arkiv for Matematik","","Inst. Mittag-Leffler, Djursholm.","0004-2080","N","Y","N"
"Arkhimedes","Arkhimedes","","Finn. Phys. Soc., Helsinki.","0004-1920","N","N","N"
"Armen. J. Math.","Armenian Journal of Mathematics","","National Academy of Sciences of Armenia, Yerevan.","1829-1163","N","Y","N"
"Arnold Math. J.","Arnold Mathematical Journal","","Springer, Cham.","2199-6792","Y","Y","N"
"Ars Combin.","Ars Combinatoria","","Charles Babbage Res. Centre, Winnipeg, MB.","0381-7032","N","Y","N"
"Ars Math. Contemp.","Ars Mathematica Contemporanea","","Drustvo Mat. Fiz. Astronom. Slovenije, Ljubljana.","1855-3966","N","Y","N"
"Artificial Intelligence","Artificial Intelligence","","Elsevier, Inc., Amsterdam.","0004-3702","N","N","N"
"Arx. Sec. Cien.","Arxius de les Seccions de Ciencies","Archives of the Science Section","Inst. Estudis Cat., Barcelona.","","N","N","Y"
"Asia Pac. Math. Newsl.","Asia Pacific Mathematics Newsletter","","World Sci. Publ., Singapore.","2010-3484","N","N","N"
"Asia-Pac. J. Oper. Res.","Asia-Pacific Journal of Operational Research","","World Sci. Publ., Singapore.","0217-5959","N","N","N"
"Asian J. Control","Asian Journal of Control","","Wiley-Blackwell, Richmond.","1561-8625","N","N","N"
"Asian J. Math.","Asian Journal of Mathematics","","Int. Press, Somerville, MA.","1093-6106","N","Y","N"
"Asian-Eur. J. Math.","Asian-European Journal of Mathematics","","World Sci. Publ., Singapore.","1793-5571","N","Y","N"
"Aspects Math.","Aspects of Mathematics","","Vieweg + Teubner, Wiesbaden.","0179-2156","N","N","Y"
"Assiut Univ. J. Math. Comput. Sci.","Assiut University Journal of Mathematics and Computer Science","","Univ. Assiut, Assiut.","1687-4897","N","N","N"
"AStA Adv. Stat. Anal.","AStA. Advances in Statistical Analysis. A Journal of the German Statistical Society","","Springer, Berlin.","1863-8171","N","N","N"
"Asterisque","Asterisque","","Soc. Math. France, Paris.","0303-1179","N","Y","N"
"Astin Bull.","Astin Bulletin","","Cambridge Univ. Press, Cambridge.","0515-0361","Y","N","N"
"Astronom. Astrophys. Lib.","Astronomy and Astrophysics Library","","Springer, Cham.","0941-7834","N","N","Y"
"Astrophys. Space Sci. Libr.","Astrophysics and Space Science Library","","Springer, Dordrecht.","","N","N","Y"
"Asymptot. Anal.","Asymptotic Analysis","","IOS, Amsterdam.","0921-7134","N","Y","N"
"At. Opt. Plasma Phys.","Atomic, Optical, and Plasma Physics","","Springer, Cham.","1615-5653","N","N","Y"
"Atl. Electron. J. Math.","Atlantic Electronic Journal of Mathematics","","Acadia University, Wolfville, NS.","","N","N","N"
"Atlantis Briefs Differ. Equ.","Atlantis Briefs in Differential Equations","","Atlantis Press, Paris.","2405-6405","Y","N","Y"
"Atlantis Stud. Comput.","Atlantis Studies in Computing","","Atlantis Press, Paris.","2212-8557","Y","N","Y"
"Atlantis Stud. Comput. Finance Financ. Eng.","Atlantis Studies in Computational Finance and Financial Engineering","","Atlantis Press, Paris.","2352-3255","Y","N","Y"
"Atlantis Stud. Differ. Equ.","Atlantis Studies in Differential Equations","","Atlantis Press, Paris.","2214-6253","N","N","Y"
"Atlantis Stud. Dyn. Syst.","Atlantis Studies in Dynamical Systems","","Atlantis Press, Paris.","2213-3526","N","N","Y"
"Atlantis Stud. Math.","Atlantis Studies in Mathematics","","Atlantis Press, Paris.","1875-7634","N","N","Y"
"Atlantis Stud. Math. Eng. Sci.","Atlantis Studies in Mathematics for Engineering and Science","","Atlantis Press, Paris.","1875-7642","N","N","Y"
"Atlantis Stud. Math. Phys. Theory Appl.","Atlantis Studies in Mathematical Physics: Theory and Applications","","Atlantis Press, Paris.","2211-8055","Y","N","Y"
"Atlantis Stud. Probab. Stat.","Atlantis Studies in Probability and Statistics","","Atlantis Press, Paris.","1879-6893","N","N","Y"
"Atlantis Stud. Var. Geom.","Atlantis Studies in Variational Geometry","","Atlantis Press, Paris.","2214-0700","Y","N","Y"
"Atmos. Oceanogr. Sci. Libr.","Atmospheric and Oceanographic Sciences Library","","Springer, Cham.","1383-8601","N","N","Y"
"Atoms Mol. Clust.","Atoms, Molecules, and Clusters---Structure, Reactivity, and Dynamics","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Atti Accad. Naz. Lincei Rend. Lincei Mat. Appl.","Atti della Accademia Nazionale dei Lincei. Rendiconti Lincei. Matematica e Applicazioni","","Eur. Math. Soc., Zurich.","1120-6330","N","Y","N"
"Atti Accad. Peloritana Pericolanti Cl. Sci. Fis. Mat. Natur.","Atti della Accademia Peloritana dei Pericolanti. Classe di Scienze, Fisiche, Matematiche e Naturali. AAPP. Physical, Mathematical, and Natural Sciences","","Accad. Pelorit. Pericol., Messina.","1825-1242","N","N","N"
"Atti Accad. Sci. Lett. Arti Palermo. Ser. 5. Tomo I. Sci.","Atti della Accademia di Scienze Lettere e Arti di Palermo. Serie 5. Tomo I. Scienze","","Accad. Naz. Sci. Lett. Arti Palermo, Palermo.","0365-0448","N","N","N"
"Atti Accad. Sci. Torino Cl. Sci. Fis. Mat. Natur.","Atti della Accademia delle Scienze di Torino. Classe di Scienze Fisiche, Matematiche e Naturali","","Accad. Sci. Torino, Turin.","0001-4419","N","N","N"
"Aufbaukurs Math.","Aufbaukurs Mathematik","Mathematics Course","Springer Spektrum, Wiesbaden.","","N","N","Y"
